2023-03-16 18:28:27.6856|0|INFO|TatBlog.WebApp.Areas.Admin.Controllers.PostsController|Chuẩn bị dữ liệu cho ViewModel |url: https://localhost/admin/Posts|action: Index|TatBlog.WebApp.Areas.Admin.Controllers.PostsController.Index
2023-03-16 18:28:27.7287|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:28:27 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:44:23.6195|0|DEBUG|Program|init main |url: |action: |Program.<Main>$
2023-03-16 18:44:28.0072|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7293 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:44:28.0190|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5167 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:44:28.0190|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-03-16 18:44:28.0190|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-03-16 18:44:28.0190|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\NHTV\Desktop\PhatTrienUngDungWebNangCao\Lab\Lab01\TipsAndTricks\TatBlog.WebApp |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-03-16 18:44:31.3719|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:44:31 - IP: ::1 - Path: / |url: https://localhost/|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:44:31.3719|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:44:31 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:44:31.6724|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:44:31 - IP: ::1 - Path: /favicon.ico |url: https://localhost/favicon.ico|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:44:34.6538|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:44:34 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:45:36.3561|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:45:36 - IP: ::1 - Path: /admin |url: https://localhost/admin|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:45:36.4554|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:45:36 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:45:56.3640|0|DEBUG|Program|init main |url: |action: |Program.<Main>$
2023-03-16 18:46:00.0482|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7293 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:46:00.0482|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5167 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:46:00.0595|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-03-16 18:46:00.0595|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-03-16 18:46:00.0595|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\NHTV\Desktop\PhatTrienUngDungWebNangCao\Lab\Lab01\TipsAndTricks\TatBlog.WebApp |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-03-16 18:46:01.8311|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:01 - IP: ::1 - Path: / |url: https://localhost/|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:01.8311|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:01 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:02.0145|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:02 - IP: ::1 - Path: /favicon.ico |url: https://localhost/favicon.ico|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:04.5006|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:04 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:08.3274|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:08 - IP: ::1 - Path: /admin |url: https://localhost/admin|action: Index|TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:08.4258|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:08 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:21.1697|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:21 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:21.9184|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:21 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:46:21.9889|0|INFO|TatBlog.WebApp.Middlewares.UserActivityMiddleware|2023-03-16 18:46:21 - IP: ::1 - Path: /css/main.cs |url: https://localhost/css/main.cs|action: |TatBlog.WebApp.Middlewares.UserActivityMiddleware.Invoke
2023-03-16 18:47:00.1883|0|DEBUG|Program|init main |url: |action: |Program.<Main>$
2023-03-16 18:47:03.7064|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7293 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:47:03.7064|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5167 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-03-16 18:47:03.7064|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
